Symbol,Name/Code,Code,Usage
"Mn (Mark, Nonspacing)",,,
➡︎,Black Rightwards Arrow+Variation Selector-15,U+27A1+U+FE0E,
"Pc (Punctuation, Connecter)",,,
_,Low Line,U+005F,
"Pd (Punctuation, Dash)",,,
-,Hyphen-Minus,U+002D,
־,Hebrew Punctuation Maqaf,U+05BE,
—,Em Dash,U+2014,Note: Annotate as regular hyphen (-) instead.
〜,Wave Dash,U+301C,
"Ps (Punctuation, Open), Pe (Punctuation, Close)",,,
(,Left Parenthesis,U+0028,
),Right Parenthesis,U+0029,
[,Left Square Bracket,U+005B,
],Right Square Bracket,U+005D,
{,Left Curly Bracket,U+007B,
},Right Curly Bracket,U+007D,
〈,Left Angle Bracket,U+3008,
〉,Right Angle Bracket,U+3009,
《,Left Double Angle Bracket,U+300A,
》,Right Double Angle Bracket,U+300B,
「,Left Corner Bracket,U+300C,
」,Right Corner Bracket,U+300D,
『,Left White Corner Bracket,U+300E,
』,Right White Corner Bracket,U+300F,
【,Left Black Lenticular Bracket,U+3010,
】,Right Black Lenticular Bracket,U+3011,
〔,Left Tortoise Shell Bracket,U+3014,
〕,Right Tortoise Shell Bracket,U+3015,
⟦,Mathematical Left White Square Bracket,U+27E6,
⟧,Mathematical Right White Square Bracket,U+27E7,
‚,Single Low-9 Quotation Mark,U+201A,
„,Double Low-9 Quotation Mark,U+201E,
"Pi (Punctuation, Initial Quote), Pf (Punctuation, Final Quote)",,,
‘,Left Single Quotation Mark,U+2018,
’,Right Single Quotation Mark,U+2019,
“,Left Double Quotation Mark,U+201C,
”,Right Double Quotation Mark,U+201D,
‹,Single Left-Pointing Angle Quotation Mark,U+2039,
›,Single Right-Pointing Angle Quotation Mark,U+203A,
«,Left-Pointing Double Angle Quotation Mark,U+00AB,
»,Right-Pointing Double Angle Quotation Mark,U+00BB,
"Po (Punctuation, Other)",,,
Available on Standard Keyboard,,,
!,Exclamation Mark,U+0021,
"""",Quotation Mark,U+0022,
&,Ampersand,U+0026,
',Apostrophe,U+0027,
*,Asterisk,U+002A,
",",Comma,U+002C,
.,Full Stop,U+002E,
/,Solidus,U+002F,
:,Colon,U+003A,
;,Semicolon,U+003B,
?,Question Mark,U+003F,
@,Commercial At,U+0040,
Not Available on Standard Keyboard,,,
¡,Inverted Exclamation Mark,U+00A1,
¿,Inverted Question Mark,U+00BF,
′,Prime,U+2032,
。,Ideographic Full Stop,U+3002,
、,Ideographic Comma,U+3001,
〃,Ditto Mark,U+3003,
⁓,Swung Dash,U+2053,
·,Middle Dot,U+00B7,
•,Bullet,U+2022,
‧,Hyphenation Point,U+2027,
・,Katakana Middle Dot,U+30FB,
⋅,Dot Operator,U+22C5,
∘,Ring Operator,U+2218,
…,Horizontal Ellipsis,U+2026,
⋯,Midline Horizontal Ellipsis,U+22EF,
⋮,Vertical Ellipsis,U+22EE,
⋱,Down Right Diagonal Ellipsis,U+22F1,
⁂,Asteriskism,U+2042,
⁑,Two Asterisks Aligned Vertically,U+2051,
⁘,Four Dot Punctuation,U+2058,
⁙,Five Dot Punctuation,U+2059,
⁜,Black Leftwards Bullet,U+205C,
※,Reference Mark,U+203B,
§,Section Sign,U+00A7,
†,Dagger,U+2020,
‡,Double Dagger,U+2021,
"Sc (Symbol, Currency)",,,
$,Dollar Sign,U+0024,
¢,Cent Sign,U+00A2,
£,Pound Sign,U+00A3,
¤,Currency Sign,U+00A4,
¥,Yen Sign,U+00A5,
€,Euro Sign,U+20AC,
₴,Hryvnia Sign,U+20B4,
₽,Ruble Sign,U+20BD,
₹,Indian Rupee Sign,U+20B9,
₿,Bitcoin Sign,U+20BF,
₺,Turkish Lira Sign,U+20BA,
₦,Naira Sign,U+20A6,
₩,Won Sign,U+20A9,
₪,New Sheqel Sign,U+20AA,
₫,Dong Sign,U+20AB,
₲,Guarani Sign,U+20B2,
₵,Cedi Sign,U+20B5,
₡,Colon Sign,U+20A1,
₠,Euro-Currency Sign,U+20A0,
₳,Austral Sign,U+20B3,
"Sk (Symbol, Modifier)",,,
^,Circumflex Accent,U+005E,
`,Grave Accent,U+0060,
"Sm (Symbol, Math)",,,
Available on Standard Keyboard,,,
+,Plus Sign,U+002B,
=,Equals Sign,U+003D,
>,Greater-Than Sign,U+003E,
|,Vertical Line,U+007C,
~,Tilde,U+007E,
Not Available on Standard Keyboard,,,
⁄,Fraction Slash,U+2044,
∖,Set Minus,U+2216,
×,Multiplication Sign,U+00D7,
÷,Division Sign,U+00F7,
‰,Per Mille Sign,U+2030,
±,Plus-Minus Sign,U+00B1,
∓,Minus-Or-Plus Sign,U+2213,
¬,Not Sign,U+00AC,
∠,Angle,U+2220,
∡,Measured Angle,U+2221,
∵,Because,U+2235,
∴,Therefore,U+2234,
⋈,Bowtie,U+22C8,
⋉,Left Normal Factor Semidirect Product,U+22C9,
⋊,Right Normal Factor Semidirect Product,U+22CA,
⊣,Left Tack,U+22A3,
⊢,Right Tack,U+22A2,
⊨,True,U+22A8,
⊩,Forces,U+22A9,
⊧,Models,U+22A7,
⟂,Perpendicular,U+27C2,
⫫,Double Up Tack,U+2AEB,
